year,id_match,match_number,stage,group,home_team,away_team,date_utc,time_utc,local_date,local_time
1930,1096,1.0,Group Matches,Group 1,FRA,MEX,1930-07-13,18:00,1930-07-13,15:00
1930,1090,2.0,Group Matches,Group 4,USA,BEL,1930-07-13,18:00,1930-07-13,15:00
1930,1093,3.0,Group Matches,Group 2,YUG,BRA,1930-07-14,15:45,1930-07-14,12:45
1930,1098,4.0,Group Matches,Group 3,ROU,PER,1930-07-14,17:50,1930-07-14,14:50
1930,1085,5.0,Group Matches,Group 1,ARG,FRA,1930-07-15,19:00,1930-07-15,16:00
1930,1095,6.0,Group Matches,Group 1,CHI,MEX,1930-07-16,17:45,1930-07-16,14:45
1930,1092,7.0,Group Matches,Group 2,YUG,BOL,1930-07-17,15:45,1930-07-17,12:45
1930,1097,8.0,Group Matches,Group 4,USA,PAR,1930-07-17,17:45,1930-07-17,14:45
1930,1099,9.0,Group Matches,Group 3,URU,PER,1930-07-18,17:30,1930-07-18,14:30
1930,1094,10.0,Group Matches,Group 1,CHI,FRA,1930-07-19,15:50,1930-07-19,12:50
1930,1086,11.0,Group Matches,Group 1,ARG,MEX,1930-07-19,18:00,1930-07-19,15:00
1930,1091,12.0,Group Matches,Group 2,BRA,BOL,1930-07-20,16:00,1930-07-20,13:00
1930,1089,13.0,Group Matches,Group 4,PAR,BEL,1930-07-20,18:00,1930-07-20,15:00
1930,1100,14.0,Group Matches,Group 3,URU,ROU,1930-07-21,17:50,1930-07-21,14:50
1930,1084,15.0,Group Matches,Group 1,ARG,CHI,1930-07-22,17:45,1930-07-22,14:45
1930,1088,16.0,Semi-final,,ARG,USA,1930-07-26,17:45,1930-07-26,14:45
1930,1101,17.0,Semi-final,,URU,YUG,1930-07-27,17:45,1930-07-27,14:45
1930,1087,18.0,Final,,URU,ARG,1930-07-30,17:15,1930-07-30,14:15
1934,1141,8.0,Preliminary Round,,TCH,ROU,1934-05-27,14:30,1934-05-27,16:30
1934,1108,3.0,Preliminary Round,,GER,BEL,1934-05-27,14:30,1934-05-27,16:30
1934,1104,2.0,Preliminary Round,,AUT,FRA,1934-05-27,14:30,1934-05-27,16:30
1934,1133,6.0,Preliminary Round,,SUI,NED,1934-05-27,14:30,1934-05-27,16:30
1934,1111,4.0,Preliminary Round,,ESP,BRA,1934-05-27,14:30,1934-05-27,16:30
1934,1102,1.0,Preliminary Round,,SWE,ARG,1934-05-27,14:30,1934-05-27,16:30
1934,1135,7.0,Preliminary Round,,ITA,USA,1934-05-27,14:30,1934-05-27,16:30
1934,1119,5.0,Preliminary Round,,HUN,EGY,1934-05-27,14:30,1934-05-27,16:30
1934,1143,9.0,Quarter-final,,TCH,SUI,1934-05-31,14:30,1934-05-31,16:30
1934,1129,10.0,Quarter-final,,GER,SWE,1934-05-31,14:30,1934-05-31,16:30
1934,1106,12.0,Quarter-final,,AUT,HUN,1934-05-31,14:30,1934-05-31,16:30
1934,1122,11.0,Quarter-final,,ITA,ESP,1934-05-31,14:30,1934-05-31,16:30
1934,1123,13.0,Quarter-final,,ITA,ESP,1934-06-01,14:30,1934-06-01,16:30
1934,1107,14.0,Semi-final,,ITA,AUT,1934-06-03,14:30,1934-06-03,16:30
1934,1130,15.0,Semi-final,,TCH,GER,1934-06-03,14:30,1934-06-03,16:30
1934,1105,16.0,Match for third place,,GER,AUT,1934-06-07,16:00,1934-06-07,18:00
1934,1134,17.0,Final,,ITA,TCH,1934-06-10,15:30,1934-06-10,17:30
1938,1165,1.0,1st Round,,SUI,GER,1938-06-04,15:00,1938-06-04,17:00
1938,1173,2.0,1st Round,,HUN,INH,1938-06-05,15:00,1938-06-05,17:00
1938,1146,3.0,1st Round,,FRA,BEL,1938-06-05,15:00,1938-06-05,17:00
1938,1179,5.0,1st Round,,ITA,NOR,1938-06-05,15:00,1938-06-05,17:00
1938,1156,4.0,1st Round,,CUB,ROU,1938-06-05,15:00,1938-06-05,17:00
1938,1150,6.0,1st Round,,BRA,POL,1938-06-05,15:30,1938-06-05,17:30
1938,1172,7.0,1st Round,,TCH,NED,1938-06-05,16:30,1938-06-05,18:30
1938,1166,9.0,1st Round,,SUI,GER,1938-06-09,16:00,1938-06-09,18:00
1938,1157,8.0,1st Round,,CUB,ROU,1938-06-09,16:00,1938-06-09,18:00
1938,1175,11.0,Quarter-final,,HUN,SUI,1938-06-12,15:00,1938-06-12,17:00
1938,1164,13.0,Quarter-final,,ITA,FRA,1938-06-12,15:00,1938-06-12,17:00
1938,1152,10.0,Quarter-final,,BRA,TCH,1938-06-12,15:00,1938-06-12,17:00
1938,1158,12.0,Quarter-final,,SWE,CUB,1938-06-12,15:00,1938-06-12,17:00
1938,1153,14.0,Quarter-final,,BRA,TCH,1938-06-14,16:00,1938-06-14,18:00
1938,1149,16.0,Semi-final,,ITA,BRA,1938-06-16,16:00,1938-06-16,18:00
1938,1176,15.0,Semi-final,,HUN,SWE,1938-06-16,16:00,1938-06-16,18:00
1938,1151,17.0,Match for third place,,BRA,SWE,1938-06-19,15:00,1938-06-19,17:00
1938,1174,18.0,Final,,ITA,HUN,1938-06-19,15:00,1938-06-19,17:00
1950,1187,1.0,Group Matches,Group 1,BRA,MEX,1950-06-24,18:00,1950-06-24,15:00
1950,1230,5.0,Group Matches,Group 1,YUG,SUI,1950-06-25,18:00,1950-06-25,15:00
1950,1192,2.0,Group Matches,Group 2,ENG,CHI,1950-06-25,18:00,1950-06-25,15:00
1950,1208,3.0,Group Matches,Group 2,ESP,USA,1950-06-25,18:00,1950-06-25,15:00
1950,1219,4.0,Group Matches,Group 3,SWE,ITA,1950-06-25,18:00,1950-06-25,15:00
1950,1225,7.0,Group Matches,Group 1,YUG,MEX,1950-06-28,18:00,1950-06-28,15:00
1950,1188,6.0,Group Matches,Group 1,BRA,SUI,1950-06-28,18:00,1950-06-28,15:00
1950,1202,10.0,Group Matches,Group 2,USA,ENG,1950-06-29,18:00,1950-06-29,15:00
1950,1193,8.0,Group Matches,Group 2,ESP,CHI,1950-06-29,18:00,1950-06-29,15:00
1950,1228,9.0,Group Matches,Group 3,SWE,PAR,1950-06-29,18:30,1950-06-29,15:30
1950,1191,11.0,Group Matches,Group 1,BRA,YUG,1950-07-01,18:00,1950-07-01,15:00
1950,1199,12.0,Group Matches,Group 2,ESP,ENG,1950-07-02,18:00,1950-07-02,15:00
1950,1194,15.0,Group Matches,Group 2,CHI,USA,1950-07-02,18:00,1950-07-02,15:00
1950,1185,16.0,Group Matches,Group 4,URU,BOL,1950-07-02,18:00,1950-07-02,15:00
1950,1218,13.0,Group Matches,Group 3,ITA,PAR,1950-07-02,18:00,1950-07-02,15:00
1950,1222,14.0,Group Matches,Group 1,SUI,MEX,1950-07-02,18:40,1950-07-02,15:40
1950,1189,18.0,Final Round,,BRA,SWE,1950-07-09,18:00,1950-07-09,15:00
1950,1207,17.0,Final Round,,URU,ESP,1950-07-09,18:00,1950-07-09,15:00
1950,1231,20.0,Final Round,,URU,SWE,1950-07-13,18:00,1950-07-13,15:00
1950,1186,19.0,Final Round,,BRA,ESP,1950-07-13,18:00,1950-07-13,15:00
1950,1190,22.0,Final Round,,URU,BRA,1950-07-16,18:00,1950-07-16,15:00
1950,1206,21.0,Final Round,,SWE,ESP,1950-07-16,18:00,1950-07-16,15:00
1954,1236,2.0,Group Matches,Group 3,AUT,SCO,1954-06-16,16:00,1954-06-16,18:00
1954,1249,3.0,Group Matches,Group 1,BRA,MEX,1954-06-16,16:00,1954-06-16,18:00
1954,1276,4.0,Group Matches,Group 1,YUG,FRA,1954-06-16,16:00,1954-06-16,18:00
1954,1315,1.0,Group Matches,Group 3,URU,TCH,1954-06-16,16:00,1954-06-16,18:00
1954,1300,7.0,Group Matches,Group 4,SUI,ITA,1954-06-17,15:50,1954-06-17,17:50
1954,1294,8.0,Group Matches,Group 2,HUN,KOR,1954-06-17,16:00,1954-06-17,18:00
1954,1283,5.0,Group Matches,Group 2,FRG,TUR,1954-06-17,16:00,1954-06-17,18:00
1954,1240,6.0,Group Matches,Group 4,ENG,BEL,1954-06-17,16:10,1954-06-17,18:10
1954,1313,12.0,Group Matches,Group 3,URU,SCO,1954-06-19,14:50,1954-06-19,16:50
1954,1252,10.0,Group Matches,Group 1,BRA,YUG,1954-06-19,15:00,1954-06-19,17:00
1954,1238,9.0,Group Matches,Group 3,AUT,TCH,1954-06-19,15:00,1954-06-19,17:00
1954,1275,11.0,Group Matches,Group 1,FRA,MEX,1954-06-19,15:10,1954-06-19,17:10
1954,1263,13.0,Group Matches,Group 4,ENG,SUI,1954-06-20,15:10,1954-06-20,17:10
1954,1243,16.0,Group Matches,Group 4,ITA,BEL,1954-06-20,15:00,1954-06-20,17:00
1954,1277,14.0,Group Matches,Group 2,HUN,FRG,1954-06-20,14:50,1954-06-20,16:50
1954,1304,15.0,Group Matches,Group 2,TUR,KOR,1954-06-20,15:00,1954-06-20,17:00
1954,1284,,Group Matches,Group 2,FRG,TUR,1954-06-23,16:00,1954-06-23,18:00
1954,1301,,Group Matches,Group 4,SUI,ITA,1954-06-23,16:00,1954-06-23,18:00
1954,1237,19.0,Quarter-final,,AUT,SUI,1954-06-26,15:00,1954-06-26,17:00
1954,1264,20.0,Quarter-final,,URU,ENG,1954-06-26,15:00,1954-06-26,17:00
1954,1285,17.0,Quarter-final,,FRG,YUG,1954-06-27,15:00,1954-06-27,17:00
1954,1248,18.0,Quarter-final,,HUN,BRA,1954-06-27,15:00,1954-06-27,17:00
1954,1233,21.0,Semi-final,,FRG,AUT,1954-06-30,16:00,1954-06-30,18:00
1954,1295,22.0,Semi-final,,HUN,URU,1954-06-30,16:00,1954-06-30,18:00
1954,1239,23.0,Match for third place,,AUT,URU,1954-07-03,15:00,1954-07-03,17:00
1954,1278,24.0,Final,,FRG,HUN,1954-07-04,15:00,1954-07-04,17:00
1958,1415,1.0,Group Matches,Group 3,SWE,MEX,1958-06-08,12:00,1958-06-08,14:00
1958,1386,3.0,Group Matches,Group 2,FRA,PAR,1958-06-08,17:00,1958-06-08,19:00
1958,1323,7.0,Group Matches,Group 1,ARG,FRG,1958-06-08,17:00,1958-06-08,19:00
1958,1372,5.0,Group Matches,Group 4,URS,ENG,1958-06-08,17:00,1958-06-08,19:00
1958,1407,2.0,Group Matches,Group 3,HUN,WAL,1958-06-08,17:00,1958-06-08,19:00
1958,1421,8.0,Group Matches,Group 1,NIR,TCH,1958-06-08,17:00,1958-06-08,19:00
1958,1434,4.0,Group Matches,Group 2,YUG,SCO,1958-06-08,17:00,1958-06-08,19:00
1958,1326,6.0,Group Matches,Group 4,BRA,AUT,1958-06-08,17:00,1958-06-08,19:00
1958,1418,9.0,Group Matches,Group 3,MEX,WAL,1958-06-11,17:00,1958-06-11,19:00
1958,1423,10.0,Group Matches,Group 2,PAR,SCO,1958-06-11,17:00,1958-06-11,19:00
1958,1324,15.0,Group Matches,Group 1,ARG,NIR,1958-06-11,17:00,1958-06-11,19:00
1958,1332,13.0,Group Matches,Group 4,URS,AUT,1958-06-11,17:00,1958-06-11,19:00
1958,1339,12.0,Group Matches,Group 4,BRA,ENG,1958-06-11,17:00,1958-06-11,19:00
1958,1388,11.0,Group Matches,Group 2,YUG,FRA,1958-06-11,17:00,1958-06-11,19:00
1958,1391,14.0,Group Matches,Group 1,FRG,TCH,1958-06-11,17:00,1958-06-11,19:00
1958,1406,16.0,Group Matches,Group 3,SWE,HUN,1958-06-12,17:00,1958-06-12,19:00
1958,1403,18.0,Group Matches,Group 3,HUN,MEX,1958-06-15,17:00,1958-06-15,19:00
1958,1327,22.0,Group Matches,Group 4,ENG,AUT,1958-06-15,17:00,1958-06-15,19:00
1958,1344,21.0,Group Matches,Group 4,BRA,URS,1958-06-15,17:00,1958-06-15,19:00
1958,1389,23.0,Group Matches,Group 1,FRG,NIR,1958-06-15,17:00,1958-06-15,19:00
1958,1426,19.0,Group Matches,Group 2,PAR,YUG,1958-06-15,17:00,1958-06-15,19:00
1958,1325,24.0,Group Matches,Group 1,TCH,ARG,1958-06-15,17:00,1958-06-15,19:00
1958,1438,17.0,Group Matches,Group 3,SWE,WAL,1958-06-15,12:00,1958-06-15,14:00
1958,1387,20.0,Group Matches,Group 2,FRA,SCO,1958-06-15,17:00,1958-06-15,19:00
1958,1408,33.0,Group Matches,Group 3,WAL,HUN,1958-06-17,17:00,1958-06-17,19:00
1958,1373,37.0,Group Matches,Group 4,URS,ENG,1958-06-17,17:00,1958-06-17,19:00
1958,1422,39.0,Group Matches,Group 1,NIR,TCH,1958-06-17,17:00,1958-06-17,19:00
1958,1392,28.0,Quarter-final,,FRG,YUG,1958-06-19,17:00,1958-06-19,19:00
1958,1437,25.0,Quarter-final,,SWE,URS,1958-06-19,17:00,1958-06-19,19:00
1958,1345,27.0,Quarter-final,,BRA,WAL,1958-06-19,17:00,1958-06-19,19:00
1958,1385,26.0,Quarter-final,,FRA,NIR,1958-06-19,17:00,1958-06-19,19:00
1958,1340,29.0,Semi-final,,BRA,FRA,1958-06-24,17:00,1958-06-24,19:00
1958,1390,30.0,Semi-final,,SWE,FRG,1958-06-24,17:00,1958-06-24,19:00
1958,1382,31.0,Match for third place,,FRA,FRG,1958-06-28,15:00,1958-06-28,17:00
1958,1343,32.0,Final,,BRA,SWE,1958-06-29,13:00,1958-06-29,15:00
1962,1473,2.0,Group Matches,Group 2,CHI,SUI,1962-05-30,19:00,1962-05-30,15:00
1962,1479,1.0,Group Matches,Group 1,URU,COL,1962-05-30,19:00,1962-05-30,15:00
1962,1461,3.0,Group Matches,Group 3,BRA,MEX,1962-05-30,19:00,1962-05-30,15:00
1962,1447,4.0,Group Matches,Group 4,ARG,BUL,1962-05-30,19:00,1962-05-30,15:00
1962,1490,8.0,Group Matches,Group 4,HUN,ENG,1962-05-31,19:00,1962-05-31,15:00
1962,1563,5.0,Group Matches,Group 1,URS,YUG,1962-05-31,19:00,1962-05-31,15:00
1962,1507,6.0,Group Matches,Group 2,FRG,ITA,1962-05-31,19:00,1962-05-31,15:00
1962,1498,7.0,Group Matches,Group 3,TCH,ESP,1962-05-31,19:00,1962-05-31,15:00
1962,1450,12.0,Group Matches,Group 4,ENG,ARG,1962-06-02,19:00,1962-06-02,15:00
1962,1564,9.0,Group Matches,Group 1,YUG,URU,1962-06-02,19:00,1962-06-02,15:00
1962,1472,10.0,Group Matches,Group 2,CHI,ITA,1962-06-02,19:00,1962-06-02,15:00
1962,1462,11.0,Group Matches,Group 3,BRA,TCH,1962-06-02,19:00,1962-06-02,15:00
1962,1470,16.0,Group Matches,Group 4,HUN,BUL,1962-06-03,19:00,1962-06-03,15:00
1962,1497,15.0,Group Matches,Group 3,ESP,MEX,1962-06-03,19:00,1962-06-03,15:00
1962,1478,13.0,Group Matches,Group 1,URS,COL,1962-06-03,19:00,1962-06-03,15:00
1962,1510,14.0,Group Matches,Group 2,FRG,SUI,1962-06-03,19:00,1962-06-03,15:00
1962,1471,18.0,Group Matches,Group 2,FRG,CHI,1962-06-06,19:00,1962-06-06,15:00
1962,1460,19.0,Group Matches,Group 3,BRA,ESP,1962-06-06,19:00,1962-06-06,15:00
1962,1562,17.0,Group Matches,Group 1,URS,URU,1962-06-06,19:00,1962-06-06,15:00
1962,1451,20.0,Group Matches,Group 4,HUN,ARG,1962-06-06,19:00,1962-06-06,15:00
1962,1464,24.0,Group Matches,Group 4,ENG,BUL,1962-06-07,19:00,1962-06-07,15:00
1962,1544,23.0,Group Matches,Group 3,MEX,TCH,1962-06-07,19:00,1962-06-07,15:00
1962,1480,21.0,Group Matches,Group 1,YUG,COL,1962-06-07,19:00,1962-06-07,15:00
1962,1532,22.0,Group Matches,Group 2,ITA,SUI,1962-06-07,19:00,1962-06-07,15:00
1962,1474,25.0,Quarter-final,,CHI,URS,1962-06-10,18:30,1962-06-10,14:30
1962,1525,28.0,Quarter-final,,TCH,HUN,1962-06-10,18:30,1962-06-10,14:30
1962,1511,26.0,Quarter-final,,YUG,FRG,1962-06-10,18:30,1962-06-10,14:30
1962,1459,27.0,Quarter-final,,BRA,ENG,1962-06-10,18:30,1962-06-10,14:30
1962,1559,30.0,Semi-final,,TCH,YUG,1962-06-13,18:30,1962-06-13,14:30
1962,1458,29.0,Semi-final,,BRA,CHI,1962-06-13,18:30,1962-06-13,14:30
1962,1475,31.0,Match for third place,,CHI,YUG,1962-06-16,18:30,1962-06-16,14:30
1962,1463,32.0,Final,,BRA,TCH,1962-06-17,18:30,1962-06-17,14:30
1966,1636,1.0,Group Matches,Group 1,ENG,URU,1966-07-11,18:30,1966-07-11,19:30
1966,1656,2.0,Group Matches,Group 2,FRG,SUI,1966-07-12,18:30,1966-07-12,19:30
1966,1596,3.0,Group Matches,Group 3,BRA,BUL,1966-07-12,18:30,1966-07-12,19:30
1966,1710,4.0,Group Matches,Group 4,URS,PRK,1966-07-12,18:30,1966-07-12,19:30
1966,1578,6.0,Group Matches,Group 2,ARG,ESP,1966-07-13,18:30,1966-07-13,19:30
1966,1650,5.0,Group Matches,Group 1,FRA,MEX,1966-07-13,18:30,1966-07-13,19:30
1966,1675,7.0,Group Matches,Group 3,POR,HUN,1966-07-13,18:30,1966-07-13,19:30
1966,1608,8.0,Group Matches,Group 4,ITA,CHI,1966-07-13,18:30,1966-07-13,19:30
1966,1641,10.0,Group Matches,Group 2,ESP,SUI,1966-07-15,18:30,1966-07-15,19:30
1966,1597,11.0,Group Matches,Group 3,HUN,BRA,1966-07-15,18:30,1966-07-15,19:30
1966,1653,9.0,Group Matches,Group 1,URU,FRA,1966-07-15,18:30,1966-07-15,19:30
1966,1609,12.0,Group Matches,Group 4,PRK,CHI,1966-07-15,18:30,1966-07-15,19:30
1966,1602,15.0,Group Matches,Group 3,POR,BUL,1966-07-16,14:00,1966-07-16,15:00
1966,1634,13.0,Group Matches,Group 1,ENG,MEX,1966-07-16,18:30,1966-07-16,19:30
1966,1579,14.0,Group Matches,Group 2,FRG,ARG,1966-07-16,14:00,1966-07-16,15:00
1966,1682,16.0,Group Matches,Group 4,URS,ITA,1966-07-16,14:00,1966-07-16,15:00
1966,1689,17.0,Group Matches,Group 1,URU,MEX,1966-07-19,15:30,1966-07-19,16:30
1966,1582,18.0,Group Matches,Group 2,ARG,SUI,1966-07-19,18:30,1966-07-19,19:30
1966,1598,19.0,Group Matches,Group 3,POR,BRA,1966-07-19,18:30,1966-07-19,19:30
1966,1679,20.0,Group Matches,Group 4,PRK,ITA,1966-07-19,18:30,1966-07-19,19:30
1966,1599,23.0,Group Matches,Group 3,HUN,BUL,1966-07-20,18:30,1966-07-20,19:30
1966,1632,21.0,Group Matches,Group 1,ENG,FRA,1966-07-20,18:30,1966-07-20,19:30
1966,1637,22.0,Group Matches,Group 2,FRG,ESP,1966-07-20,18:30,1966-07-20,19:30
1966,1610,24.0,Group Matches,Group 4,URS,CHI,1966-07-20,18:30,1966-07-20,19:30
1966,1676,27.0,Quarter-final,,URS,HUN,1966-07-23,14:00,1966-07-23,15:00
1966,1702,28.0,Quarter-final,,POR,PRK,1966-07-23,14:00,1966-07-23,15:00
1966,1660,26.0,Quarter-final,,FRG,URU,1966-07-23,14:00,1966-07-23,15:00
1966,1577,25.0,Quarter-final,,ENG,ARG,1966-07-23,14:00,1966-07-23,15:00
1966,1659,29.0,Semi-final,,FRG,URS,1966-07-25,18:30,1966-07-25,19:30
1966,1635,30.0,Semi-final,,ENG,POR,1966-07-26,18:30,1966-07-26,19:30
1966,1709,31.0,Match for third place,,POR,URS,1966-07-28,18:30,1966-07-28,19:30
1966,1633,32.0,Final,,ENG,FRG,1966-07-30,14:00,1966-07-30,15:00
1970,1902,1.0,Group Matches,Group 1,MEX,URS,1970-05-31,17:00,1970-05-31,12:00
1970,1881,2.0,Group Matches,Group 2,URU,ISR,1970-06-02,21:00,1970-06-02,16:00
1970,1812,3.0,Group Matches,Group 3,ENG,ROU,1970-06-02,21:00,1970-06-02,16:00
1970,1780,4.0,Group Matches,Group 4,PER,BUL,1970-06-02,21:00,1970-06-02,16:00
1970,1770,7.0,Group Matches,Group 3,BRA,TCH,1970-06-03,21:00,1970-06-03,16:00
1970,1747,5.0,Group Matches,Group 1,BEL,SLV,1970-06-03,21:00,1970-06-03,16:00
1970,1883,6.0,Group Matches,Group 2,ITA,SWE,1970-06-03,21:00,1970-06-03,16:00
1970,1839,8.0,Group Matches,Group 4,FRG,MAR,1970-06-03,21:00,1970-06-03,16:00
1970,1893,12.0,Group Matches,Group 4,PER,MAR,1970-06-06,21:00,1970-06-06,16:00
1970,1919,11.0,Group Matches,Group 3,ROU,TCH,1970-06-06,21:00,1970-06-06,16:00
1970,1753,9.0,Group Matches,Group 1,URS,BEL,1970-06-06,21:00,1970-06-06,16:00
1970,1884,10.0,Group Matches,Group 2,URU,ITA,1970-06-06,21:00,1970-06-06,16:00
1970,1820,13.0,Group Matches,Group 1,MEX,SLV,1970-06-07,17:00,1970-06-07,12:00
1970,1774,16.0,Group Matches,Group 4,FRG,BUL,1970-06-07,17:00,1970-06-07,12:00
1970,1764,15.0,Group Matches,Group 3,BRA,ENG,1970-06-07,17:00,1970-06-07,12:00
1970,1880,14.0,Group Matches,Group 2,SWE,ISR,1970-06-07,17:00,1970-06-07,12:00
1970,1823,17.0,Group Matches,Group 1,URS,SLV,1970-06-10,21:00,1970-06-10,16:00
1970,1922,18.0,Group Matches,Group 2,SWE,URU,1970-06-10,21:00,1970-06-10,16:00
1970,1840,20.0,Group Matches,Group 4,FRG,PER,1970-06-10,21:00,1970-06-10,16:00
1970,1769,19.0,Group Matches,Group 3,BRA,ROU,1970-06-10,21:00,1970-06-10,16:00
1970,1813,23.0,Group Matches,Group 3,ENG,TCH,1970-06-11,21:00,1970-06-11,16:00
1970,1877,22.0,Group Matches,Group 2,ITA,ISR,1970-06-11,21:00,1970-06-11,16:00
1970,1752,21.0,Group Matches,Group 1,MEX,BEL,1970-06-11,21:00,1970-06-11,16:00
1970,1779,24.0,Group Matches,Group 4,BUL,MAR,1970-06-11,21:00,1970-06-11,16:00
1970,1925,25.0,Quarter-final,,URU,URS,1970-06-14,17:00,1970-06-14,12:00
1970,1768,27.0,Quarter-final,,BRA,PER,1970-06-14,17:00,1970-06-14,12:00
1970,1811,28.0,Quarter-final,,FRG,ENG,1970-06-14,17:00,1970-06-14,12:00
1970,1882,26.0,Quarter-final,,ITA,MEX,1970-06-14,17:00,1970-06-14,12:00
1970,1771,29.0,Semi-final,,BRA,URU,1970-06-17,21:00,1970-06-17,16:00
1970,1838,30.0,Semi-final,,ITA,FRG,1970-06-17,21:00,1970-06-17,16:00
1970,1843,31.0,Match for third place,,FRG,URU,1970-06-20,21:00,1970-06-20,16:00
1970,1765,32.0,Final,,BRA,ITA,1970-06-21,17:00,1970-06-21,12:00
1974,1986,3.0,Group Matches,Group 2,BRA,YUG,1974-06-13,15:00,1974-06-13,17:00
1974,2003,1.0,Group Matches,Group 1,FRG,CHI,1974-06-14,14:00,1974-06-14,16:00
1974,1955,2.0,Group Matches,Group 1,GDR,AUS,1974-06-14,17:30,1974-06-14,19:30
1974,2176,4.0,Group Matches,Group 2,ZAI,SCO,1974-06-14,17:30,1974-06-14,19:30
1974,1995,6.0,Group Matches,Group 3,SWE,BUL,1974-06-15,14:00,1974-06-15,16:00
1974,2098,5.0,Group Matches,Group 3,URU,NED,1974-06-15,14:00,1974-06-15,16:00
1974,2083,7.0,Group Matches,Group 4,ITA,HAI,1974-06-15,16:00,1974-06-15,18:00
1974,1952,8.0,Group Matches,Group 4,POL,ARG,1974-06-15,16:00,1974-06-15,18:00
1974,2186,11.0,Group Matches,Group 2,YUG,ZAI,1974-06-18,17:30,1974-06-18,19:30
1974,1985,12.0,Group Matches,Group 2,SCO,BRA,1974-06-18,17:30,1974-06-18,19:30
1974,1954,10.0,Group Matches,Group 1,AUS,FRG,1974-06-18,14:00,1974-06-18,16:00
1974,2004,9.0,Group Matches,Group 1,CHI,GDR,1974-06-18,17:30,1974-06-18,19:30
1974,2085,15.0,Group Matches,Group 4,HAI,POL,1974-06-19,17:30,1974-06-19,19:30
1974,2097,13.0,Group Matches,Group 3,NED,SWE,1974-06-19,17:30,1974-06-19,19:30
1974,1996,14.0,Group Matches,Group 3,BUL,URU,1974-06-19,17:30,1974-06-19,19:30
1974,1949,16.0,Group Matches,Group 4,ARG,ITA,1974-06-19,17:30,1974-06-19,19:30
1974,2062,18.0,Group Matches,Group 1,GDR,FRG,1974-06-22,17:30,1974-06-22,19:30
1974,1987,20.0,Group Matches,Group 2,ZAI,BRA,1974-06-22,14:00,1974-06-22,16:00
1974,1953,17.0,Group Matches,Group 1,AUS,CHI,1974-06-22,14:00,1974-06-22,16:00
1974,2175,19.0,Group Matches,Group 2,SCO,YUG,1974-06-22,14:00,1974-06-22,16:00
1974,1990,21.0,Group Matches,Group 3,BUL,NED,1974-06-23,14:00,1974-06-23,16:00
1974,2129,24.0,Group Matches,Group 4,POL,ITA,1974-06-23,14:00,1974-06-23,16:00
1974,2181,22.0,Group Matches,Group 3,SWE,URU,1974-06-23,14:00,1974-06-23,16:00
1974,1947,23.0,Group Matches,Group 4,ARG,HAI,1974-06-23,14:00,1974-06-23,16:00
1974,2167,28.0,Second Round,Group B,SWE,POL,1974-06-26,17:30,1974-06-26,19:30
1974,1948,26.0,Second Round,Group A,NED,ARG,1974-06-26,17:30,1974-06-26,19:30
1974,2066,27.0,Second Round,Group B,YUG,FRG,1974-06-26,14:00,1974-06-26,16:00
1974,1982,25.0,Second Round,Group A,BRA,GDR,1974-06-26,17:30,1974-06-26,19:30
1974,2170,32.0,Second Round,Group B,POL,YUG,1974-06-30,14:00,1974-06-30,16:00
1974,2067,29.0,Second Round,Group A,GDR,NED,1974-06-30,14:00,1974-06-30,16:00
1974,1945,30.0,Second Round,Group A,ARG,BRA,1974-06-30,14:00,1974-06-30,16:00
1974,2065,31.0,Second Round,Group B,FRG,SWE,1974-06-30,17:30,1974-06-30,19:30
1974,1983,34.0,Second Round,Group A,NED,BRA,1974-07-03,17:30,1974-07-03,19:30
1974,2064,35.0,Second Round,Group B,POL,FRG,1974-07-03,15:00,1974-07-03,17:00
1974,1946,33.0,Second Round,Group A,ARG,GDR,1974-07-03,17:30,1974-07-03,19:30
1974,2182,36.0,Second Round,Group B,SWE,YUG,1974-07-03,17:30,1974-07-03,19:30
1974,1984,37.0,Match for third place,,BRA,POL,1974-07-06,14:00,1974-07-06,16:00
1974,2063,38.0,Final,,NED,FRG,1974-07-07,14:00,1974-07-07,16:00
1978,2351,1.0,Group Matches,Group 2,FRG,POL,1978-06-01,18:00,1978-06-01,15:00
