team_name,id_team,assists,attempt_at_goal,attempt_at_goal_against,attempt_at_goal_against_on_target,attempt_at_goal_blocked,attempt_at_goal_from_ball_progression,attempt_at_goal_from_corner,attempt_at_goal_from_cross,attempt_at_goal_from_free_kicks,attempt_at_goal_from_freekick,attempt_at_goal_from_other,attempt_at_goal_from_pass,attempt_at_goal_from_penalty,attempt_at_goal_from_rebound,attempt_at_goal_inside_the_penalty_area,attempt_at_goal_inside_the_penalty_area_on_target,attempt_at_goal_off_target,attempt_at_goal_on_target,attempt_at_goal_outside_the_penalty_area,attempt_at_goal_outside_the_penalty_area_on_target,attempted_ball_progressions,attempted_switches_of_play,avg_speed,ball_recovery_time,clean_sheets,completed_ball_progressions,completed_switches_of_play,corners,crosses,crosses_completed,defensive_pressures_applied,direct_defensive_pressures_applied,direct_free_kicks,direct_red_cards,distance_high_speed_running,distance_high_speed_sprinting,distance_jogging,distance_low_speed_sprinting,distance_walking,distributions_completed_under_pressure,distributions_under_pressure,final_third_entries_reception_central_channel,final_third_entries_reception_inside_left_channel,final_third_entries_reception_inside_right_channel,final_third_entries_reception_left_channel,final_third_entries_reception_right_channel,final_third_pitch_control,forced_turnovers,fouls_against,fouls_for,free_kicks,gksaves,gksaves_on_target,goal_kicks,goalkeeper_defensive_actions_inside_penalty_area,goalkeeper_defensive_actions_outside_penalty_area,goalkeeper_save_percentage,goalkeeper_saves,goalkeeper_saves_on_target,goals,goals_conceded,goals_conceded_from_attempt_at_goal_against,goals_from_direct_free_kicks,goals_inside_the_penalty_area,goals_outside_the_penalty_area,headed_attempt_at_goal,indirect_free_kicks,indirect_red_cards,linebreaks_attempted,linebreaks_attempted_all_lines,linebreaks_attempted_attacking_and_midfield_line,linebreaks_attempted_attacking_line,linebreaks_attempted_attacking_line_completed,linebreaks_attempted_attacking_line_completed_only,linebreaks_attempted_attacking_line_only,linebreaks_attempted_completed,linebreaks_attempted_defensive_line,linebreaks_attempted_defensive_line_completed,linebreaks_attempted_defensive_line_completed_only,linebreaks_attempted_defensive_line_only,linebreaks_attempted_midfield_and_defensive_line,linebreaks_attempted_midfield_line,linebreaks_attempted_midfield_line_completed,linebreaks_attempted_midfield_line_completed_only,linebreaks_attempted_midfield_line_only,linebreaks_attempted_under_pressure,linebreaks_completed_all_lines,linebreaks_completed_attacking_and_midfield_line,linebreaks_completed_midfield_and_defensive_line,linebreaks_completed_under_pressure,matches_played,number_of_involvements,number_of_possession_sequences,number_of_shot_ending_sequences,offers_to_receive_in_behind,offers_to_receive_in_between,offers_to_receive_in_front,offers_to_receive_inside,offers_to_receive_outside,offers_to_receive_total,offsides,own_goals,passes,passes_completed,penalties,penalties_scored,phase_aggregate_attacking_transition,phase_aggregate_build_up_opposed,phase_aggregate_build_up_unopposed,phase_aggregate_counter_press,phase_aggregate_counterattack,phase_aggregate_defensive_transition,phase_aggregate_final_third,phase_aggregate_high_block,phase_aggregate_high_press,phase_aggregate_long_ball,phase_aggregate_low_block,phase_aggregate_low_press,phase_aggregate_mid_block,phase_aggregate_mid_press,phase_aggregate_progression,phase_aggregate_recovery,phase_aggregate_set_pieces,pitch_control,possession,received_offers_to_receive,receptions_between_midfield_and_defensive_line,receptions_in_behind,receptions_under_direct_pressure,receptions_under_indirect_pressure,receptions_under_no_pressure,receptions_under_pressure,red_cards,speed_runs,sprints,substitutions_in,substitutions_out,take_ons_completed,threat,throw_ins,time_played,top_speed,total_distance,xg,yellow_cards
Australia,43976,1.0,9.0,30.0,7.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,6.0,3.0,4.0,4.0,3.0,1.0,22.0,4.0,6.346984386444092,23.574661254882812,1.0,14.0,1.0,5.0,14.0,6.0,384.0,57.0,4.0,0.0,14566.939453125,2225.929931640625,52600.4296875,5616.58984375,41618.66015625,116.0,178.0,7.0,3.0,8.0,4.0,15.0,15.0,35.0,12.0,4.0,7.0,3.0,0.0,17.0,39.0,34.0,1.0,8.0,7.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,130.0,9.0,13.0,45.0,28.0,18.0,23.0,71.0,21.0,10.0,3.0,8.0,4.0,64.0,33.0,21.0,38.0,67.0,5.0,5.0,2.0,42.0,1.0,0.0,0.0,0.0,42.0,90.0,61.0,105.0,88.0,193.0,1.0,0.0,293.0,224.0,0.0,0.0,21.72863930463791,12.668640911579132,20.042620599269867,5.564119294285774,1.4509785920381546,7.302394509315491,12.048136442899704,1.1429976671934128,1.1110199615359306,9.437628090381622,56.10610246658325,0.3419153857976198,18.08461844921112,1.7513938248157501,11.21922954916954,4.027549922466278,9.207289665937424,25.0,0.27034956216812134,74.0,60.0,10.0,17.0,120.0,166.0,137.0,0.0,1232.0,418.0,5.0,5.0,10.0,19.0,14.0,100.06433333333334,36.669898986816406,116628.546875,0.9855483770370483,0.0
Bosnia and Herzegovina,44037,1.0,8.0,13.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,5.0,2.0,4.0,3.0,3.0,1.0,22.0,2.0,5.972912788391113,12.028847694396973,0.0,8.0,1.0,4.0,8.0,5.0,203.0,35.0,10.0,0.0,12892.1201171875,2441.869873046875,43965.73046875,5216.72998046875,45011.62890625,120.0,202.0,11.0,2.0,4.0,8.0,11.0,29.0,51.0,20.0,10.0,11.0,1.0,0.0,9.0,28.0,20.0,0.6666666865348816,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,154.0,9.0,21.0,56.0,23.0,16.0,26.0,70.0,15.0,4.0,1.0,5.0,1.0,83.0,43.0,36.0,52.0,90.0,3.0,4.0,0.0,44.0,1.0,0.0,0.0,0.0,33.0,65.0,28.0,74.0,52.0,126.0,0.0,0.0,279.0,186.0,0.0,0.0,36.46423816680908,8.136732131242752,16.21575802564621,12.543340027332306,3.431888297200203,16.98407083749771,4.7659460455179214,1.4572132378816605,2.1996382623910904,9.82721745967865,31.233355402946472,0.609265873208642,14.372393488883972,2.452138066291809,11.538069695234299,5.242198705673218,10.640212148427963,38.0,0.29891595244407654,47.0,75.0,5.0,34.0,130.0,116.0,164.0,0.0,1091.0,397.0,5.0,5.0,5.0,32.0,26.0,100.3307,34.79839324951172,109528.078125,0.7619218230247498,3.0
Brazil,43924,1.0,12.0,14.0,3.0,2.0,1.0,2.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,9.0,5.0,2.0,5.0,3.0,0.0,30.0,5.0,5.958889961242676,18.02904510498047,0.0,11.0,5.0,6.0,19.0,7.0,315.0,54.0,14.0,0.0,16135.6796875,2015.760009765625,44733.7421875,6808.830078125,43966.94140625,187.0,268.0,7.0,5.0,4.0,22.0,14.0,49.0,41.0,16.0,14.0,15.0,0.0,0.0,4.0,19.0,16.0,0.6666666865348816,3.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,154.0,9.0,15.0,71.0,55.0,43.0,47.0,107.0,18.0,11.0,5.0,7.0,2.0,65.0,41.0,27.0,39.0,82.0,4.0,8.0,2.0,51.0,1.0,0.0,0.0,0.0,79.0,147.0,122.0,174.0,174.0,348.0,0.0,0.0,514.0,457.0,0.0,0.0,11.2465500831604,12.457641214132309,46.27586901187897,10.266847908496857,0.6148768588900566,15.571492910385132,10.077694803476334,6.109065189957619,7.207468897104263,1.7139937728643417,19.36314105987549,0.411363085731864,16.10454171895981,3.3393636345863342,16.17342233657837,5.684779584407806,4.181359335780144,52.0,0.4668981432914734,155.0,61.0,10.0,17.0,176.0,353.0,193.0,0.0,1382.0,509.0,5.0,5.0,9.0,51.0,17.0,104.09348333333334,34.140018463134766,113660.953125,0.9921513795852661,2.0
Canada,43899,1.0,13.0,8.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,4.0,6.0,0.0,0.0,10.0,4.0,6.0,4.0,3.0,0.0,30.0,3.0,6.0717034339904785,8.511474609375,0.0,17.0,2.0,9.0,30.0,5.0,160.0,38.0,20.0,0.0,15024.8203125,2628.070068359375,44883.21875,5775.86962890625,43026.80859375,143.0,247.0,9.0,15.0,5.0,22.0,23.0,67.0,50.0,10.0,20.0,20.0,0.0,0.0,7.0,15.0,12.0,0.6666666865348816,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,190.0,10.0,20.0,52.0,32.0,16.0,22.0,110.0,31.0,16.0,6.0,15.0,6.0,107.0,62.0,42.0,71.0,107.0,6.0,10.0,4.0,61.0,1.0,0.0,0.0,0.0,128.0,114.0,52.0,154.0,140.0,294.0,1.0,0.0,412.0,316.0,0.0,0.0,16.98407083749771,9.993216395378113,30.15049397945404,20.111002027988434,1.6783075407147408,36.46423816680908,19.241495430469513,4.626769572496414,5.539903044700623,2.780011110007763,4.944159835577011,1.0268508456647396,10.98136380314827,5.601004883646965,16.735340654850006,6.060966104269028,11.251947283744812,61.0,0.5281291604042053,86.0,119.0,15.0,28.0,138.0,270.0,166.0,0.0,1275.0,452.0,5.0,5.0,8.0,68.0,32.0,100.3307,34.619014739990234,111338.7890625,1.49470853805542,2.0
Curaçao,1895293,0.0,8.0,26.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,4.0,1.0,6.0,2.0,4.0,1.0,,,5.72,17.89,0.0,,,1.0,6.0,2.0,,,18.0,0.0,11623.65,1974.44,41359.93,4908.78,1044.79,,,,,,,,15.0,23.0,11.0,18.0,18.0,1.0,0.0,13.0,,,,,,1.0,7.0,,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,0.0,358.0,290.0,0.0,0.0,15.92,19.03,24.74,10.68,0.12,11.48,9.47,1.46,1.73,5.99,36.84,0.41,23.62,1.99,23.26,1.6,1.74,35.0,0.36,,,,,,,,0.0,,,3.0,3.0,,30.0,10.0,,33.23,104680.26,0.31,0.0
Czechia,43995,1.0,7.0,15.0,6.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,5.0,3.0,2.0,4.0,2.0,1.0,10.0,4.0,6.447492599487305,18.423662185668945,0.0,7.0,2.0,5.0,15.0,4.0,301.0,54.0,9.0,0.0,16895.48046875,1691.469970703125,51301.5703125,6020.41015625,41719.48046875,114.0,178.0,8.0,5.0,7.0,7.0,11.0,41.0,40.0,16.0,9.0,11.0,1.0,0.0,8.0,21.0,18.0,0.6666666865348816,5.0,4.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,150.0,7.0,27.0,59.0,26.0,20.0,25.0,61.0,13.0,5.0,3.0,5.0,1.0,78.0,30.0,23.0,43.0,74.0,1.0,5.0,1.0,29.0,1.0,0.0,0.0,0.0,82.0,66.0,49.0,95.0,102.0,197.0,2.0,0.0,327.0,241.0,0.0,0.0,16.77529513835907,12.971962988376617,31.678178906440735,7.354274392127991,1.110117882490158,10.24179607629776,11.5887850522995,5.218048393726349,5.272020772099495,10.16334816813469,25.710275769233704,0.8041882887482643,18.099093437194824,7.1999140083789825,12.729784846305847,4.085708037018776,7.873222231864929,44.0,0.3416551649570465,67.0,86.0,5.0,16.0,113.0,201.0,129.0,0.0,1445.0,472.0,4.0,4.0,4.0,45.0,16.0,99.60738333333333,33.99915313720703,117628.40625,0.6367324590682983,0.0
Germany,43948,6.0,26.0,8.0,0.0,7.0,6.0,2.0,2.0,0.0,2.0,2.0,12.0,1.0,0.0,21.0,12.0,7.0,12.0,5.0,0.0,,,6.44,13.38,0.0,,,8.0,17.0,8.0,,,10.0,0.0,16249.83,2407.88,50368.24,6263.86,807.02,,,,,,,,44.0,18.0,18.0,10.0,11.0,0.0,0.0,7.0,,,,,,7.0,1.0,,0.0,7.0,0.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.0,0.0,631.0,563.0,1.0,1.0,11.48,19.23,35.12,11.35,0.0,15.92,23.32,8.38,10.04,0.72,12.55,0.37,13.17,7.14,19.65,8.32,2.1,56.0,0.54,,,,,,,,0.0,,,5.0,5.0,,70.0,17.0,,33.66,118637.11,3.75,0.0
Haiti,43908,0.0,15.0,9.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,1.0,8.0,2.0,9.0,2.0,7.0,0.0,24.0,4.0,6.069770812988281,14.863372802734375,0.0,12.0,4.0,4.0,26.0,5.0,185.0,35.0,21.0,0.0,16236.6103515625,1692.02001953125,47431.5390625,5906.81005859375,42471.08203125,136.0,211.0,8.0,6.0,8.0,37.0,11.0,58.0,29.0,23.0,20.0,22.0,0.0,0.0,7.0,15.0,11.0,0.5,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,142.0,3.0,17.0,56.0,41.0,31.0,36.0,96.0,12.0,4.0,2.0,4.0,5.0,74.0,51.0,40.0,49.0,49.0,1.0,9.0,1.0,32.0,1.0,0.0,0.0,0.0,105.0,94.0,68.0,129.0,138.0,267.0,3.0,0.0,431.0,378.0,0.0,0.0,12.031775712966919,9.202762693166733,44.46435570716858,7.150693982839584,2.004021219909191,11.419723182916641,18.616417050361633,6.204952299594879,4.716208204627037,2.3952096700668335,8.29363837838173,0.6679906044155359,25.001734495162964,6.606302410364151,18.643733859062195,5.430027469992638,6.014248728752136,60.0,0.516315758228302,94.0,83.0,3.0,24.0,115.0,313.0,139.0,0.0,1371.0,452.0,3.0,3.0,6.0,63.0,14.0,102.24253333333334,34.21611404418945,113738.0625,0.7022180557250977,1.0
